####################,,
## BD Targeted Multiplex Rhapsody Analysis Pipeline Version 1.9.1,,
## Analysis Date: 2021-04-14 14:51:48,,
## Sample: P18159_1003,,
## Reference: 902_TP53_one_gene_supplement_panel_plus_all__amplicons.fasta; common_abseq_final.fasta,,
## Sample Tags Version: Single-Cell Multiplex Kit - Human,,
####################,,
Cell_Index,Sample_Tag,Sample_Name
588838,SampleTag07_hs,#015CD34+
701571,SampleTag06_hs,#010CD34+CD38-
247763,Multiplet,Multiplet
119778,Multiplet,Multiplet
165378,Multiplet,Multiplet
274850,Multiplet,Multiplet
167785,SampleTag05_hs,#010CD34+
562596,Multiplet,Multiplet
855044,Multiplet,Multiplet
203312,SampleTag07_hs,#015CD34+
115143,SampleTag07_hs,#015CD34+
596005,SampleTag07_hs,#015CD34+
176363,SampleTag07_hs,#015CD34+
733140,SampleTag07_hs,#015CD34+
574401,SampleTag07_hs,#015CD34+
821935,SampleTag05_hs,#010CD34+
90122,Multiplet,Multiplet
70484,SampleTag07_hs,#015CD34+
750104,SampleTag05_hs,#010CD34+
751315,SampleTag08_hs,#015CD34+CD38-
624404,SampleTag07_hs,#015CD34+
160661,SampleTag07_hs,#015CD34+
682010,SampleTag07_hs,#015CD34+
775678,Multiplet,Multiplet
144011,SampleTag07_hs,#015CD34+
448901,SampleTag05_hs,#010CD34+
709378,SampleTag05_hs,#010CD34+
611064,SampleTag07_hs,#015CD34+
433588,Multiplet,Multiplet
770750,SampleTag07_hs,#015CD34+
230288,SampleTag07_hs,#015CD34+
679774,SampleTag05_hs,#010CD34+
90039,SampleTag07_hs,#015CD34+
89818,SampleTag07_hs,#015CD34+
112749,SampleTag07_hs,#015CD34+
617610,SampleTag07_hs,#015CD34+
178337,SampleTag05_hs,#010CD34+
45792,Multiplet,Multiplet
541015,SampleTag07_hs,#015CD34+
817279,SampleTag05_hs,#010CD34+
717407,SampleTag05_hs,#010CD34+
36949,SampleTag05_hs,#010CD34+
453558,SampleTag07_hs,#015CD34+
272952,SampleTag07_hs,#015CD34+
873571,SampleTag07_hs,#015CD34+
584366,SampleTag07_hs,#015CD34+
691831,SampleTag05_hs,#010CD34+
799000,SampleTag07_hs,#015CD34+
514113,SampleTag07_hs,#015CD34+
449177,SampleTag05_hs,#010CD34+
814186,SampleTag07_hs,#015CD34+
25869,Multiplet,Multiplet
657900,SampleTag07_hs,#015CD34+
37038,Multiplet,Multiplet
445507,SampleTag07_hs,#015CD34+
574775,SampleTag05_hs,#010CD34+
38785,SampleTag05_hs,#010CD34+
64704,Multiplet,Multiplet
463299,SampleTag05_hs,#010CD34+
620220,SampleTag05_hs,#010CD34+
181995,SampleTag07_hs,#015CD34+
725931,SampleTag05_hs,#010CD34+
367860,Multiplet,Multiplet
800847,SampleTag05_hs,#010CD34+
395900,SampleTag07_hs,#015CD34+
513702,Multiplet,Multiplet
95885,SampleTag07_hs,#015CD34+
729147,SampleTag07_hs,#015CD34+
37010,SampleTag07_hs,#015CD34+
41315,SampleTag07_hs,#015CD34+
85257,SampleTag05_hs,#010CD34+
147475,SampleTag05_hs,#010CD34+
72356,Multiplet,Multiplet
626913,SampleTag05_hs,#010CD34+
161838,SampleTag05_hs,#010CD34+
638782,Multiplet,Multiplet
598083,SampleTag05_hs,#010CD34+
367496,SampleTag07_hs,#015CD34+
655850,Multiplet,Multiplet
673265,SampleTag07_hs,#015CD34+
856079,SampleTag05_hs,#010CD34+
735139,Multiplet,Multiplet
116130,Multiplet,Multiplet
213962,SampleTag05_hs,#010CD34+
89320,SampleTag07_hs,#015CD34+
837201,SampleTag05_hs,#010CD34+
461878,SampleTag05_hs,#010CD34+
710531,Multiplet,Multiplet
74073,SampleTag07_hs,#015CD34+
649365,SampleTag07_hs,#015CD34+
569495,Multiplet,Multiplet
265107,SampleTag07_hs,#015CD34+
245091,SampleTag05_hs,#010CD34+
23115,Multiplet,Multiplet
649515,SampleTag07_hs,#015CD34+
203678,SampleTag05_hs,#010CD34+
156706,SampleTag07_hs,#015CD34+
532563,SampleTag07_hs,#015CD34+
613338,Multiplet,Multiplet
507550,SampleTag05_hs,#010CD34+
235512,SampleTag07_hs,#015CD34+
269003,SampleTag05_hs,#010CD34+
831809,Multiplet,Multiplet
575963,Multiplet,Multiplet
601195,Multiplet,Multiplet
514808,Multiplet,Multiplet
620641,SampleTag05_hs,#010CD34+
582281,SampleTag05_hs,#010CD34+
262809,SampleTag05_hs,#010CD34+
263520,SampleTag07_hs,#015CD34+
755537,SampleTag07_hs,#015CD34+
299194,SampleTag05_hs,#010CD34+
204708,Multiplet,Multiplet
507873,SampleTag07_hs,#015CD34+
265816,SampleTag07_hs,#015CD34+
101660,Multiplet,Multiplet
528583,SampleTag05_hs,#010CD34+
232649,SampleTag07_hs,#015CD34+
219625,SampleTag05_hs,#010CD34+
592931,Multiplet,Multiplet
564071,SampleTag05_hs,#010CD34+
39922,SampleTag07_hs,#015CD34+
346303,SampleTag07_hs,#015CD34+
289642,SampleTag08_hs,#015CD34+CD38-
509754,Multiplet,Multiplet
505821,SampleTag07_hs,#015CD34+
250882,SampleTag07_hs,#015CD34+
612005,SampleTag05_hs,#010CD34+
217021,SampleTag05_hs,#010CD34+
211582,SampleTag07_hs,#015CD34+
