####################
## BD Targeted Multiplex Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-04-22 09:10:44
## Sample: HD2
## Reference: 902_TP53_one_gene_supplement_panel_plus_all__amplicon.fasta; common_abseq_final.fasta
## Sample Tags Version: Single-Cell Multiplex Kit - Human
####################
Cell_Index,Sample_Tag,Sample_Name
17162,SampleTag10_hs,BM
271055,SampleTag10_hs,BM
576690,SampleTag11_hs,PB
838119,SampleTag10_hs,BM
175728,SampleTag11_hs,PB
38083,SampleTag10_hs,BM
180075,SampleTag11_hs,PB
716322,SampleTag11_hs,PB
465289,SampleTag11_hs,PB
203158,SampleTag11_hs,PB
558428,SampleTag11_hs,PB
454279,SampleTag11_hs,PB
409205,Undetermined,Undetermined
285825,SampleTag11_hs,PB
429987,SampleTag11_hs,PB
125977,SampleTag11_hs,PB
534355,SampleTag10_hs,BM
33020,SampleTag10_hs,BM
779108,SampleTag10_hs,BM
153439,SampleTag11_hs,PB
7257,SampleTag11_hs,PB
278689,SampleTag11_hs,PB
590104,SampleTag11_hs,PB
73176,SampleTag11_hs,PB
354616,SampleTag11_hs,PB
590760,SampleTag11_hs,PB
1288,SampleTag11_hs,PB
26187,SampleTag10_hs,BM
746883,SampleTag10_hs,BM
437864,SampleTag11_hs,PB
645457,SampleTag11_hs,PB
526009,SampleTag11_hs,PB
715005,SampleTag11_hs,PB
600358,SampleTag11_hs,PB
176980,SampleTag11_hs,PB
83573,SampleTag11_hs,PB
298966,SampleTag11_hs,PB
809307,SampleTag10_hs,BM
49968,SampleTag11_hs,PB
54426,SampleTag10_hs,BM
682478,SampleTag11_hs,PB
856650,SampleTag11_hs,PB
12242,SampleTag11_hs,PB
590089,SampleTag10_hs,BM
66217,SampleTag10_hs,BM
98149,SampleTag11_hs,PB
806391,SampleTag11_hs,PB
673437,SampleTag11_hs,PB
321607,SampleTag11_hs,PB
674785,SampleTag11_hs,PB
561062,SampleTag11_hs,PB
125964,SampleTag11_hs,PB
647870,SampleTag11_hs,PB
80250,SampleTag10_hs,BM
52575,Undetermined,Undetermined
612424,SampleTag10_hs,BM
705265,SampleTag11_hs,PB
456832,SampleTag10_hs,BM
294533,SampleTag11_hs,PB
557803,SampleTag11_hs,PB
612567,Undetermined,Undetermined
190598,SampleTag11_hs,PB
187683,SampleTag10_hs,BM
