####################
## BD Targeted Multiplex Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-03-22 18:21:46
## Sample: Rieger_Run9_Index3
## Reference: 902_TP53_one_gene_supplement_panel_plus_all__amplicons.fasta; common_abseq_final.fasta
## Sample Tags Version: Single-Cell Multiplex Kit - Human
####################
Cell_Index,Sample_Tag,Sample_Name
482736,SampleTag10_hs,#019CD34CD38'
256536,SampleTag07_hs,#012CD34'
131201,SampleTag08_hs,#012CD34CD38'
575431,SampleTag07_hs,#012CD34'
329854,SampleTag10_hs,#019CD34CD38'
684324,SampleTag09_hs,#019CD34'
794751,SampleTag07_hs,#012CD34'
107371,SampleTag08_hs,#012CD34CD38'
365756,SampleTag07_hs,#012CD34'
58269,SampleTag07_hs,#012CD34'
546054,SampleTag07_hs,#012CD34'
508530,SampleTag07_hs,#012CD34'
769403,SampleTag07_hs,#012CD34'
624067,SampleTag07_hs,#012CD34'
409386,SampleTag07_hs,#012CD34'
164336,SampleTag07_hs,#012CD34'
337502,SampleTag07_hs,#012CD34'
556591,SampleTag07_hs,#012CD34'
182294,SampleTag07_hs,#012CD34'
662032,SampleTag07_hs,#012CD34'
127800,SampleTag09_hs,#019CD34'
871881,SampleTag07_hs,#012CD34'
679209,SampleTag07_hs,#012CD34'
619517,Multiplet,Multiplet
842029,Multiplet,Multiplet
348130,Multiplet,Multiplet
272008,SampleTag07_hs,#012CD34'
4100,SampleTag07_hs,#012CD34'
376572,SampleTag07_hs,#012CD34'
806887,SampleTag07_hs,#012CD34'
846180,SampleTag07_hs,#012CD34'
788951,SampleTag07_hs,#012CD34'
139358,SampleTag07_hs,#012CD34'
391973,SampleTag07_hs,#012CD34'
690940,Multiplet,Multiplet
529652,SampleTag07_hs,#012CD34'
598063,SampleTag07_hs,#012CD34'
274771,Multiplet,Multiplet
159662,SampleTag07_hs,#012CD34'
554274,SampleTag07_hs,#012CD34'
167487,SampleTag07_hs,#012CD34'
442289,SampleTag07_hs,#012CD34'
486099,SampleTag07_hs,#012CD34'
625999,SampleTag07_hs,#012CD34'
461980,SampleTag07_hs,#012CD34'
718337,SampleTag07_hs,#012CD34'
335154,SampleTag07_hs,#012CD34'
691306,SampleTag07_hs,#012CD34'
472891,SampleTag07_hs,#012CD34'
836012,SampleTag07_hs,#012CD34'
499486,SampleTag07_hs,#012CD34'
737924,SampleTag07_hs,#012CD34'
363931,SampleTag07_hs,#012CD34'
441786,SampleTag07_hs,#012CD34'
257366,SampleTag07_hs,#012CD34'
295455,SampleTag07_hs,#012CD34'
595054,SampleTag07_hs,#012CD34'
652082,SampleTag07_hs,#012CD34'
767634,Multiplet,Multiplet
694251,SampleTag07_hs,#012CD34'
210451,SampleTag07_hs,#012CD34'
40467,SampleTag07_hs,#012CD34'
837888,SampleTag07_hs,#012CD34'
332077,Multiplet,Multiplet
576953,SampleTag07_hs,#012CD34'
60915,SampleTag07_hs,#012CD34'
831634,SampleTag07_hs,#012CD34'
531479,SampleTag07_hs,#012CD34'
482462,SampleTag07_hs,#012CD34'
548214,SampleTag07_hs,#012CD34'
6270,SampleTag07_hs,#012CD34'
678340,SampleTag07_hs,#012CD34'
354173,SampleTag07_hs,#012CD34'
113431,SampleTag07_hs,#012CD34'
810668,SampleTag07_hs,#012CD34'
757842,SampleTag07_hs,#012CD34'
561682,SampleTag07_hs,#012CD34'
559195,SampleTag07_hs,#012CD34'
755375,SampleTag07_hs,#012CD34'
776143,SampleTag07_hs,#012CD34'
475421,SampleTag07_hs,#012CD34'
200439,SampleTag07_hs,#012CD34'
865561,Undetermined,Undetermined
627165,Multiplet,Multiplet
175420,SampleTag07_hs,#012CD34'
681987,SampleTag07_hs,#012CD34'
674033,SampleTag07_hs,#012CD34'
511842,SampleTag07_hs,#012CD34'
624101,SampleTag07_hs,#012CD34'
340904,SampleTag07_hs,#012CD34'
349157,SampleTag07_hs,#012CD34'
76710,SampleTag07_hs,#012CD34'
546784,SampleTag07_hs,#012CD34'
645943,SampleTag07_hs,#012CD34'
453733,SampleTag07_hs,#012CD34'
732836,SampleTag07_hs,#012CD34'
817776,SampleTag07_hs,#012CD34'
481651,SampleTag07_hs,#012CD34'
704778,SampleTag07_hs,#012CD34'
539318,SampleTag08_hs,#012CD34CD38'
62472,SampleTag07_hs,#012CD34'
102104,SampleTag07_hs,#012CD34'
326679,SampleTag07_hs,#012CD34'
467798,SampleTag07_hs,#012CD34'
37985,SampleTag07_hs,#012CD34'
473514,SampleTag07_hs,#012CD34'
702573,SampleTag09_hs,#019CD34'
45455,SampleTag07_hs,#012CD34'
747265,SampleTag07_hs,#012CD34'
159559,SampleTag07_hs,#012CD34'
737697,SampleTag07_hs,#012CD34'
302774,SampleTag07_hs,#012CD34'
154022,SampleTag07_hs,#012CD34'
486260,SampleTag07_hs,#012CD34'
808593,SampleTag07_hs,#012CD34'
83950,SampleTag07_hs,#012CD34'
762740,SampleTag07_hs,#012CD34'
657294,SampleTag07_hs,#012CD34'
525599,SampleTag08_hs,#012CD34CD38'
208431,SampleTag07_hs,#012CD34'
554842,SampleTag07_hs,#012CD34'
171170,SampleTag09_hs,#019CD34'
721922,SampleTag07_hs,#012CD34'
69494,SampleTag08_hs,#012CD34CD38'
833330,SampleTag07_hs,#012CD34'
118620,SampleTag07_hs,#012CD34'
543935,SampleTag07_hs,#012CD34'
596069,SampleTag07_hs,#012CD34'
747473,SampleTag09_hs,#019CD34'
360347,SampleTag07_hs,#012CD34'
861539,SampleTag07_hs,#012CD34'
273930,SampleTag07_hs,#012CD34'
579731,SampleTag07_hs,#012CD34'
781574,SampleTag07_hs,#012CD34'
211673,Multiplet,Multiplet
274746,SampleTag07_hs,#012CD34'
739468,SampleTag07_hs,#012CD34'
124488,SampleTag07_hs,#012CD34'
697856,SampleTag07_hs,#012CD34'
238653,SampleTag07_hs,#012CD34'
213059,SampleTag07_hs,#012CD34'
554493,SampleTag07_hs,#012CD34'
680419,SampleTag07_hs,#012CD34'
705162,SampleTag08_hs,#012CD34CD38'
285627,SampleTag07_hs,#012CD34'
867864,SampleTag07_hs,#012CD34'
156409,SampleTag07_hs,#012CD34'
155724,SampleTag08_hs,#012CD34CD38'
876358,SampleTag07_hs,#012CD34'
323696,SampleTag07_hs,#012CD34'
687765,SampleTag07_hs,#012CD34'
445114,SampleTag07_hs,#012CD34'
356822,SampleTag07_hs,#012CD34'
883961,Multiplet,Multiplet
562010,SampleTag07_hs,#012CD34'
360140,SampleTag07_hs,#012CD34'
854693,SampleTag07_hs,#012CD34'
850875,SampleTag07_hs,#012CD34'
192962,SampleTag07_hs,#012CD34'
103750,SampleTag09_hs,#019CD34'
73224,SampleTag09_hs,#019CD34'
610550,SampleTag07_hs,#012CD34'
719104,SampleTag07_hs,#012CD34'
650989,SampleTag07_hs,#012CD34'
468553,SampleTag07_hs,#012CD34'
429477,SampleTag09_hs,#019CD34'
725103,SampleTag07_hs,#012CD34'
708504,SampleTag07_hs,#012CD34'
270537,SampleTag07_hs,#012CD34'
30239,SampleTag07_hs,#012CD34'
343788,SampleTag07_hs,#012CD34'
637160,SampleTag07_hs,#012CD34'
415179,SampleTag07_hs,#012CD34'
225618,Multiplet,Multiplet
578447,SampleTag07_hs,#012CD34'
753429,SampleTag07_hs,#012CD34'
70862,SampleTag07_hs,#012CD34'
306735,SampleTag07_hs,#012CD34'
269790,SampleTag08_hs,#012CD34CD38'
532003,SampleTag09_hs,#019CD34'
693071,SampleTag07_hs,#012CD34'
50854,SampleTag07_hs,#012CD34'
342566,SampleTag07_hs,#012CD34'
798641,SampleTag07_hs,#012CD34'
268560,SampleTag07_hs,#012CD34'
180014,SampleTag07_hs,#012CD34'
856703,SampleTag07_hs,#012CD34'
283298,SampleTag07_hs,#012CD34'
855953,SampleTag07_hs,#012CD34'
807713,SampleTag07_hs,#012CD34'
110820,SampleTag07_hs,#012CD34'
827992,SampleTag09_hs,#019CD34'
502747,Multiplet,Multiplet
731018,SampleTag07_hs,#012CD34'
645474,SampleTag07_hs,#012CD34'
756740,SampleTag07_hs,#012CD34'
87693,SampleTag07_hs,#012CD34'
851974,SampleTag07_hs,#012CD34'
599820,SampleTag07_hs,#012CD34'
143795,SampleTag07_hs,#012CD34'
831138,SampleTag07_hs,#012CD34'
449299,SampleTag07_hs,#012CD34'
697930,SampleTag07_hs,#012CD34'
410381,SampleTag07_hs,#012CD34'
472910,SampleTag07_hs,#012CD34'
776243,SampleTag10_hs,#019CD34CD38'
845191,SampleTag07_hs,#012CD34'
706512,SampleTag07_hs,#012CD34'
798155,SampleTag07_hs,#012CD34'
655768,SampleTag07_hs,#012CD34'
658789,SampleTag07_hs,#012CD34'
568753,SampleTag07_hs,#012CD34'
452648,SampleTag09_hs,#019CD34'
755538,SampleTag07_hs,#012CD34'
407739,SampleTag07_hs,#012CD34'
380734,SampleTag07_hs,#012CD34'
315831,Multiplet,Multiplet
260346,SampleTag07_hs,#012CD34'
452882,SampleTag07_hs,#012CD34'
7385,SampleTag10_hs,#019CD34CD38'
820678,SampleTag07_hs,#012CD34'
830393,SampleTag07_hs,#012CD34'
5943,SampleTag07_hs,#012CD34'
526580,SampleTag07_hs,#012CD34'
725414,SampleTag08_hs,#012CD34CD38'
232448,SampleTag07_hs,#012CD34'
686077,SampleTag07_hs,#012CD34'
473149,SampleTag07_hs,#012CD34'
704521,SampleTag07_hs,#012CD34'
127891,SampleTag07_hs,#012CD34'
369612,SampleTag07_hs,#012CD34'
653496,SampleTag07_hs,#012CD34'
869995,SampleTag09_hs,#019CD34'
329904,SampleTag09_hs,#019CD34'
760282,SampleTag07_hs,#012CD34'
7789,SampleTag07_hs,#012CD34'
5891,Multiplet,Multiplet
510552,SampleTag07_hs,#012CD34'
376578,SampleTag07_hs,#012CD34'
369479,SampleTag07_hs,#012CD34'
54139,SampleTag07_hs,#012CD34'
613794,SampleTag07_hs,#012CD34'
681543,SampleTag07_hs,#012CD34'
674823,SampleTag07_hs,#012CD34'
676366,SampleTag07_hs,#012CD34'
814489,SampleTag07_hs,#012CD34'
465091,SampleTag07_hs,#012CD34'
410975,SampleTag08_hs,#012CD34CD38'
576181,SampleTag07_hs,#012CD34'
565387,SampleTag07_hs,#012CD34'
610480,SampleTag07_hs,#012CD34'
45248,SampleTag07_hs,#012CD34'
88504,Multiplet,Multiplet
824703,SampleTag07_hs,#012CD34'
646472,SampleTag07_hs,#012CD34'
783811,SampleTag07_hs,#012CD34'
