####################
## BD Targeted Multiplex Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-04-21 15:54:34
## Sample: HD5
## Reference: 902_TP53_one_gene_supplement_panel_plus_all__amplicon.fasta; common_abseq_final.fasta
## Sample Tags Version: Single-Cell Multiplex Kit - Human
####################
Cell_Index,Sample_Tag,Sample_Name
541154,Multiplet,Multiplet
826474,SampleTag04_hs,BM
617621,SampleTag04_hs,BM
671312,SampleTag04_hs,BM
302574,SampleTag04_hs,BM
369303,SampleTag04_hs,BM
112790,SampleTag04_hs,BM
355758,SampleTag04_hs,BM
206891,SampleTag04_hs,BM
120087,SampleTag04_hs,BM
206797,SampleTag04_hs,BM
325052,SampleTag04_hs,BM
52029,SampleTag04_hs,BM
394547,SampleTag04_hs,BM
732055,SampleTag04_hs,BM
220137,SampleTag04_hs,BM
463439,SampleTag04_hs,BM
528723,SampleTag04_hs,BM
404538,SampleTag04_hs,BM
835624,SampleTag04_hs,BM
543875,SampleTag04_hs,BM
246754,SampleTag05_hs,PB
741960,SampleTag04_hs,BM
725688,SampleTag04_hs,BM
427716,SampleTag04_hs,BM
128667,Multiplet,Multiplet
164856,SampleTag04_hs,BM
579104,SampleTag04_hs,BM
462110,SampleTag04_hs,BM
44173,SampleTag04_hs,BM
590265,SampleTag04_hs,BM
197952,SampleTag04_hs,BM
44521,SampleTag04_hs,BM
269317,SampleTag04_hs,BM
745836,SampleTag04_hs,BM
342810,SampleTag04_hs,BM
651152,SampleTag04_hs,BM
164957,SampleTag04_hs,BM
51441,SampleTag04_hs,BM
813560,SampleTag04_hs,BM
45542,SampleTag04_hs,BM
11512,SampleTag04_hs,BM
257608,SampleTag04_hs,BM
529623,SampleTag04_hs,BM
467261,SampleTag04_hs,BM
525989,SampleTag04_hs,BM
815663,SampleTag04_hs,BM
211141,SampleTag04_hs,BM
282771,SampleTag04_hs,BM
696502,SampleTag04_hs,BM
554623,SampleTag04_hs,BM
48538,SampleTag04_hs,BM
807699,SampleTag04_hs,BM
620277,SampleTag04_hs,BM
819876,SampleTag04_hs,BM
847845,SampleTag04_hs,BM
807698,SampleTag04_hs,BM
326699,SampleTag04_hs,BM
817096,SampleTag04_hs,BM
483045,SampleTag04_hs,BM
407481,SampleTag04_hs,BM
123236,SampleTag04_hs,BM
217328,SampleTag04_hs,BM
84840,SampleTag04_hs,BM
723721,SampleTag04_hs,BM
797410,SampleTag04_hs,BM
720046,SampleTag04_hs,BM
395972,SampleTag04_hs,BM
74620,SampleTag04_hs,BM
266896,SampleTag04_hs,BM
676365,SampleTag04_hs,BM
726533,SampleTag04_hs,BM
482529,SampleTag04_hs,BM
793613,SampleTag04_hs,BM
871005,SampleTag04_hs,BM
715799,SampleTag04_hs,BM
796710,SampleTag04_hs,BM
854154,SampleTag04_hs,BM
586344,SampleTag04_hs,BM
454066,SampleTag04_hs,BM
526354,Multiplet,Multiplet
412100,SampleTag04_hs,BM
499836,SampleTag04_hs,BM
68447,SampleTag04_hs,BM
436409,SampleTag04_hs,BM
573668,SampleTag04_hs,BM
47192,SampleTag04_hs,BM
411604,SampleTag04_hs,BM
110912,SampleTag04_hs,BM
255452,SampleTag04_hs,BM
75225,SampleTag05_hs,PB
761193,SampleTag04_hs,BM
626366,SampleTag04_hs,BM
729779,SampleTag04_hs,BM
631471,SampleTag04_hs,BM
325142,SampleTag04_hs,BM
411275,SampleTag04_hs,BM
202458,SampleTag04_hs,BM
822869,SampleTag04_hs,BM
140605,SampleTag04_hs,BM
383043,SampleTag04_hs,BM
762981,SampleTag04_hs,BM
193035,SampleTag04_hs,BM
77057,SampleTag04_hs,BM
620208,SampleTag04_hs,BM
437213,SampleTag04_hs,BM
400239,SampleTag04_hs,BM
629059,SampleTag04_hs,BM
391259,SampleTag04_hs,BM
276864,SampleTag04_hs,BM
611438,SampleTag04_hs,BM
165148,SampleTag04_hs,BM
539801,SampleTag04_hs,BM
624531,SampleTag04_hs,BM
670477,SampleTag04_hs,BM
857496,SampleTag04_hs,BM
729338,SampleTag04_hs,BM
328831,SampleTag04_hs,BM
673180,SampleTag04_hs,BM
279030,SampleTag04_hs,BM
830763,SampleTag04_hs,BM
234580,SampleTag04_hs,BM
40625,SampleTag04_hs,BM
523381,SampleTag04_hs,BM
342881,SampleTag04_hs,BM
119599,SampleTag04_hs,BM
543316,SampleTag04_hs,BM
277083,SampleTag04_hs,BM
456046,SampleTag04_hs,BM
745527,SampleTag04_hs,BM
389273,SampleTag04_hs,BM
526936,SampleTag04_hs,BM
239752,SampleTag04_hs,BM
356215,SampleTag04_hs,BM
76195,SampleTag04_hs,BM
561918,SampleTag04_hs,BM
57935,SampleTag04_hs,BM
543431,SampleTag04_hs,BM
732253,SampleTag04_hs,BM
61667,SampleTag04_hs,BM
133786,SampleTag04_hs,BM
179602,SampleTag04_hs,BM
407221,SampleTag04_hs,BM
680001,SampleTag04_hs,BM
