####################
## BD Targeted Multiplex Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-03-22 19:14:14
## Sample: Rieger_Run8_Index2
## Reference: 902_TP53_one_gene_supplement_panel_plus_all__amplicons.fasta; common_abseq_final.fasta
## Sample Tags Version: Single-Cell Multiplex Kit - Human
####################
Cell_Index,Sample_Tag,Sample_Name
618389,SampleTag06_hs,#018CD34CD38'
610142,SampleTag06_hs,#018CD34CD38'
375747,SampleTag05_hs,#018CD34'
710266,SampleTag05_hs,#018CD34'
70746,SampleTag06_hs,#018CD34CD38'
378879,SampleTag03_hs,#004CD34'
12779,SampleTag06_hs,#018CD34CD38'
742617,SampleTag03_hs,#004CD34'
517694,SampleTag06_hs,#018CD34CD38'
343800,SampleTag03_hs,#004CD34'
511057,SampleTag06_hs,#018CD34CD38'
677117,SampleTag03_hs,#004CD34'
874142,SampleTag03_hs,#004CD34'
51475,SampleTag03_hs,#004CD34'
880100,SampleTag05_hs,#018CD34'
223817,SampleTag04_hs,#004CD34CD38'
3263,SampleTag04_hs,#004CD34CD38'
386125,SampleTag05_hs,#018CD34'
232196,Multiplet,Multiplet
659880,SampleTag05_hs,#018CD34'
472418,SampleTag03_hs,#004CD34'
597059,SampleTag05_hs,#018CD34'
802234,SampleTag03_hs,#004CD34'
594326,SampleTag05_hs,#018CD34'
742554,SampleTag05_hs,#018CD34'
85939,SampleTag05_hs,#018CD34'
217239,SampleTag05_hs,#018CD34'
119505,SampleTag03_hs,#004CD34'
162896,SampleTag05_hs,#018CD34'
82438,SampleTag06_hs,#018CD34CD38'
670114,SampleTag05_hs,#018CD34'
596786,SampleTag06_hs,#018CD34CD38'
526640,Multiplet,Multiplet
315322,Multiplet,Multiplet
51361,SampleTag05_hs,#018CD34'
656914,SampleTag05_hs,#018CD34'
590888,SampleTag03_hs,#004CD34'
425399,SampleTag05_hs,#018CD34'
712496,SampleTag05_hs,#018CD34'
512535,Multiplet,Multiplet
717847,SampleTag05_hs,#018CD34'
744442,SampleTag03_hs,#004CD34'
572524,SampleTag04_hs,#004CD34CD38'
728169,SampleTag06_hs,#018CD34CD38'
19594,SampleTag05_hs,#018CD34'
597163,Multiplet,Multiplet
552778,Multiplet,Multiplet
268429,SampleTag03_hs,#004CD34'
461852,SampleTag06_hs,#018CD34CD38'
551013,Multiplet,Multiplet
248282,SampleTag05_hs,#018CD34'
80628,SampleTag03_hs,#004CD34'
84416,SampleTag04_hs,#004CD34CD38'
799424,SampleTag05_hs,#018CD34'
584262,SampleTag05_hs,#018CD34'
664343,SampleTag05_hs,#018CD34'
497921,SampleTag03_hs,#004CD34'
363143,SampleTag05_hs,#018CD34'
