####################,,
## BD Targeted Multiplex Rhapsody Analysis Pipeline Version 1.9.1,,
## Analysis Date: 2021-04-14 14:38:34,,
## Sample: P18159_1002,,
## Reference: 902_TP53_one_gene_supplement_panel_plus_all__amplicons.fasta; common_abseq_final.fasta,,
## Sample Tags Version: Single-Cell Multiplex Kit - Human,,
####################,,
Cell_Index,Sample_Tag,Sample_Name
51960,SampleTag03_hs,#011CD34+
845228,SampleTag01_hs,#008CD34+
101781,SampleTag01_hs,#008CD34+
595115,SampleTag01_hs,#008CD34+
337547,SampleTag01_hs,#008CD34+
497757,SampleTag02_hs,#008CD34+CD38-
39279,SampleTag01_hs,#008CD34+
227340,SampleTag01_hs,#008CD34+
154816,SampleTag02_hs,#008CD34+CD38-
226288,SampleTag01_hs,#008CD34+
145267,Multiplet,Multiplet
463547,SampleTag01_hs,#008CD34+
108174,SampleTag01_hs,#008CD34+
363346,SampleTag01_hs,#008CD34+
202205,SampleTag01_hs,#008CD34+
645373,SampleTag01_hs,#008CD34+
860641,SampleTag01_hs,#008CD34+
236614,Multiplet,Multiplet
252281,SampleTag01_hs,#008CD34+
880184,SampleTag01_hs,#008CD34+
645475,SampleTag03_hs,#011CD34+
794684,SampleTag01_hs,#008CD34+
619600,SampleTag03_hs,#011CD34+
462392,SampleTag01_hs,#008CD34+
205405,SampleTag03_hs,#011CD34+
43996,SampleTag01_hs,#008CD34+
337671,SampleTag03_hs,#011CD34+
87628,SampleTag01_hs,#008CD34+
66072,SampleTag01_hs,#008CD34+
655803,SampleTag01_hs,#008CD34+
430688,SampleTag01_hs,#008CD34+
650970,SampleTag01_hs,#008CD34+
835760,SampleTag03_hs,#011CD34+
523720,SampleTag01_hs,#008CD34+
219407,SampleTag01_hs,#008CD34+
356920,SampleTag01_hs,#008CD34+
814397,SampleTag01_hs,#008CD34+
518340,SampleTag03_hs,#011CD34+
212363,SampleTag01_hs,#008CD34+
356500,SampleTag01_hs,#008CD34+
883894,SampleTag01_hs,#008CD34+
157983,SampleTag01_hs,#008CD34+
774709,Multiplet,Multiplet
196035,Multiplet,Multiplet
744041,SampleTag01_hs,#008CD34+
346334,SampleTag01_hs,#008CD34+
77189,Multiplet,Multiplet
623500,SampleTag03_hs,#011CD34+
203726,SampleTag01_hs,#008CD34+
683258,SampleTag01_hs,#008CD34+
826553,SampleTag03_hs,#011CD34+
716791,SampleTag01_hs,#008CD34+
595091,SampleTag03_hs,#011CD34+
298809,SampleTag01_hs,#008CD34+
646322,SampleTag01_hs,#008CD34+
623796,SampleTag03_hs,#011CD34+
194784,SampleTag01_hs,#008CD34+
106456,SampleTag01_hs,#008CD34+
211448,SampleTag01_hs,#008CD34+
629028,SampleTag03_hs,#011CD34+
162798,SampleTag01_hs,#008CD34+
736240,SampleTag01_hs,#008CD34+
180209,Multiplet,Multiplet
631001,SampleTag03_hs,#011CD34+
86936,SampleTag01_hs,#008CD34+
774183,SampleTag01_hs,#008CD34+
65201,SampleTag01_hs,#008CD34+
231303,SampleTag01_hs,#008CD34+
567051,SampleTag01_hs,#008CD34+
286391,SampleTag03_hs,#011CD34+
569417,SampleTag01_hs,#008CD34+
856945,SampleTag01_hs,#008CD34+
311061,SampleTag01_hs,#008CD34+
447562,SampleTag01_hs,#008CD34+
807413,SampleTag01_hs,#008CD34+
770460,SampleTag03_hs,#011CD34+
38892,Multiplet,Multiplet
461884,SampleTag01_hs,#008CD34+
111997,SampleTag01_hs,#008CD34+
709501,SampleTag01_hs,#008CD34+
339669,SampleTag03_hs,#011CD34+
314847,SampleTag01_hs,#008CD34+
801110,SampleTag01_hs,#008CD34+
44413,SampleTag01_hs,#008CD34+
48112,SampleTag03_hs,#011CD34+
315411,SampleTag01_hs,#008CD34+
161719,SampleTag01_hs,#008CD34+
733131,Multiplet,Multiplet
235825,SampleTag01_hs,#008CD34+
62705,SampleTag01_hs,#008CD34+
366025,SampleTag01_hs,#008CD34+
368813,SampleTag01_hs,#008CD34+
756453,SampleTag01_hs,#008CD34+
270682,Multiplet,Multiplet
105163,SampleTag01_hs,#008CD34+
606280,SampleTag01_hs,#008CD34+
848591,SampleTag01_hs,#008CD34+
177457,SampleTag01_hs,#008CD34+
34045,SampleTag01_hs,#008CD34+
512270,Multiplet,Multiplet
93336,SampleTag01_hs,#008CD34+
527493,SampleTag01_hs,#008CD34+
199617,SampleTag01_hs,#008CD34+
206900,SampleTag01_hs,#008CD34+
669731,SampleTag01_hs,#008CD34+
867599,SampleTag03_hs,#011CD34+
190888,SampleTag01_hs,#008CD34+
159589,SampleTag01_hs,#008CD34+
329159,SampleTag01_hs,#008CD34+
351496,SampleTag03_hs,#011CD34+
342996,SampleTag01_hs,#008CD34+
462077,Multiplet,Multiplet
652215,SampleTag01_hs,#008CD34+
38384,SampleTag01_hs,#008CD34+
143008,SampleTag03_hs,#011CD34+
842958,SampleTag01_hs,#008CD34+
802374,SampleTag01_hs,#008CD34+
201372,SampleTag01_hs,#008CD34+
726307,SampleTag01_hs,#008CD34+
697518,SampleTag01_hs,#008CD34+
142651,SampleTag01_hs,#008CD34+
513588,SampleTag01_hs,#008CD34+
91061,SampleTag01_hs,#008CD34+
