####################
## BD Targeted Multiplex Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-04-22 09:14:30
## Sample: HD3
## Reference: 902_TP53_one_gene_supplement_panel_plus_all__amplicon.fasta; common_abseq_final.fasta
## Sample Tags Version: Single-Cell Multiplex Kit - Human
####################
Cell_Index,Sample_Tag,Sample_Name
872754,SampleTag01_hs,BM
193834,SampleTag12_hs,PB
807232,SampleTag12_hs,PB
658609,SampleTag12_hs,PB
580337,SampleTag12_hs,PB
868677,SampleTag01_hs,BM
587160,SampleTag12_hs,PB
654031,SampleTag01_hs,BM
309647,SampleTag12_hs,PB
259382,SampleTag12_hs,PB
498779,SampleTag12_hs,PB
88557,SampleTag01_hs,BM
432312,SampleTag12_hs,PB
211283,SampleTag01_hs,BM
540084,SampleTag12_hs,PB
425916,SampleTag12_hs,PB
74354,SampleTag12_hs,PB
232528,SampleTag12_hs,PB
730963,SampleTag01_hs,BM
852725,SampleTag12_hs,PB
599092,SampleTag12_hs,PB
91154,SampleTag01_hs,BM
508335,SampleTag12_hs,PB
658383,SampleTag01_hs,BM
212636,SampleTag12_hs,PB
632048,SampleTag01_hs,BM
207871,SampleTag12_hs,PB
772556,SampleTag01_hs,BM
477783,SampleTag01_hs,BM
241651,SampleTag12_hs,PB
496493,SampleTag12_hs,PB
79544,SampleTag01_hs,BM
377808,SampleTag01_hs,BM
515995,SampleTag01_hs,BM
411220,SampleTag12_hs,PB
102529,SampleTag01_hs,BM
167169,SampleTag12_hs,PB
528895,SampleTag12_hs,PB
40116,SampleTag12_hs,PB
88431,SampleTag01_hs,BM
702909,SampleTag01_hs,BM
348389,SampleTag01_hs,BM
83272,SampleTag12_hs,PB
192449,SampleTag01_hs,BM
779034,SampleTag01_hs,BM
719425,SampleTag01_hs,BM
124473,SampleTag12_hs,PB
252685,SampleTag12_hs,PB
862729,SampleTag12_hs,PB
221323,SampleTag12_hs,PB
209995,SampleTag12_hs,PB
49609,SampleTag01_hs,BM
353163,SampleTag01_hs,BM
753554,SampleTag01_hs,BM
340040,Multiplet,Multiplet
154828,SampleTag12_hs,PB
191121,SampleTag01_hs,BM
53151,SampleTag01_hs,BM
663755,SampleTag01_hs,BM
95445,SampleTag01_hs,BM
730059,SampleTag01_hs,BM
820372,SampleTag12_hs,PB
106345,SampleTag01_hs,BM
73085,SampleTag01_hs,BM
322189,SampleTag12_hs,PB
683369,SampleTag12_hs,PB
489957,SampleTag12_hs,PB
645509,SampleTag12_hs,PB
344001,SampleTag12_hs,PB
237288,SampleTag01_hs,BM
806477,SampleTag12_hs,PB
196632,SampleTag12_hs,PB
845467,SampleTag01_hs,BM
44818,SampleTag01_hs,BM
705014,SampleTag01_hs,BM
494314,SampleTag12_hs,PB
242902,SampleTag01_hs,BM
530798,SampleTag12_hs,PB
311100,SampleTag12_hs,PB
692027,SampleTag12_hs,PB
497842,SampleTag12_hs,PB
509789,SampleTag12_hs,PB
610834,SampleTag01_hs,BM
681252,SampleTag01_hs,BM
575952,SampleTag01_hs,BM
431271,SampleTag12_hs,PB
724356,SampleTag01_hs,BM
559075,SampleTag12_hs,PB
101735,SampleTag12_hs,PB
802834,SampleTag01_hs,BM
682419,SampleTag12_hs,PB
847897,SampleTag01_hs,BM
413851,SampleTag12_hs,PB
