####################,,
## BD Targeted Multiplex Rhapsody Analysis Pipeline Version 1.9.1,,
## Analysis Date: 2021-04-14 14:24:10,,
## Sample: P18159_1001,,
## Reference: 902_TP53_one_gene_supplement_panel_plus_all__amplicons.fasta; common_abseq_final.fasta,,
## Sample Tags Version: Single-Cell Multiplex Kit - Human,,
####################,,
Cell_Index,Sample_Tag,Sample_Name
844877,SampleTag11_hs,#014CD34+
296858,Multiplet,Multiplet
679781,SampleTag11_hs,#014CD34+
655233,SampleTag11_hs,#014CD34+
880821,SampleTag12_hs,#014CD34+CD38-
244070,SampleTag11_hs,#014CD34+
276221,SampleTag11_hs,#014CD34+
425755,SampleTag11_hs,#014CD34+
795445,SampleTag09_hs,#002CD34+
41708,SampleTag09_hs,#002CD34+
522842,SampleTag11_hs,#014CD34+
390432,SampleTag11_hs,#014CD34+
153865,SampleTag11_hs,#014CD34+
773911,SampleTag11_hs,#014CD34+
571718,SampleTag11_hs,#014CD34+
66345,SampleTag09_hs,#002CD34+
657732,SampleTag09_hs,#002CD34+
645610,SampleTag09_hs,#002CD34+
106246,SampleTag09_hs,#002CD34+
427789,SampleTag09_hs,#002CD34+
536044,SampleTag11_hs,#014CD34+
437147,Multiplet,Multiplet
462985,SampleTag09_hs,#002CD34+
360928,SampleTag11_hs,#014CD34+
344207,SampleTag09_hs,#002CD34+
764235,SampleTag11_hs,#014CD34+
241774,SampleTag11_hs,#014CD34+
409665,Multiplet,Multiplet
245525,SampleTag11_hs,#014CD34+
780068,SampleTag09_hs,#002CD34+
773544,SampleTag11_hs,#014CD34+
449858,SampleTag09_hs,#002CD34+
73169,SampleTag11_hs,#014CD34+
653960,Multiplet,Multiplet
439130,SampleTag11_hs,#014CD34+
196095,SampleTag09_hs,#002CD34+
807237,SampleTag11_hs,#014CD34+
406342,SampleTag09_hs,#002CD34+
324638,SampleTag11_hs,#014CD34+
581416,SampleTag09_hs,#002CD34+
589018,SampleTag11_hs,#014CD34+
38777,SampleTag09_hs,#002CD34+
816288,Multiplet,Multiplet
86707,SampleTag11_hs,#014CD34+
509146,SampleTag09_hs,#002CD34+
740911,SampleTag11_hs,#014CD34+
608349,SampleTag11_hs,#014CD34+
508550,SampleTag11_hs,#014CD34+
395086,SampleTag11_hs,#014CD34+
398540,SampleTag11_hs,#014CD34+
589804,SampleTag11_hs,#014CD34+
30415,SampleTag11_hs,#014CD34+
89991,Multiplet,Multiplet
245291,Multiplet,Multiplet
202217,SampleTag09_hs,#002CD34+
229812,SampleTag11_hs,#014CD34+
810567,SampleTag11_hs,#014CD34+
140495,SampleTag11_hs,#014CD34+
647815,Multiplet,Multiplet
